Clinic,Time,warning,,,,,,,,,,,,,,,,,
ผ่าตัดกระเพาะ,,"หากผู้ป่วยแจ้งความประสงค์ปรึกษาเรื่อง
""ผ่าตัดกระเพาะ""
สามารถส่งพบแพทย์เพื่อประเมินได้
ไม่จำเป็นต้องผ่านห้องตรวจอายุรกรรมก่อน",,,,,,,,,,,,,,,,,
CVT,,"บางโรงพยาบาล Chest sx. จะอยู่รวมกับ
CVT ดังนั้นกรณี refer มาใหม่
ต้องพิจารณา Diagnosis ผู้ป่วยร่วม
Cardio Med
OPD 9 : จันทร์ / อังคาร / ศุกร์
OPD 22 : พุธ
OPD 110 : ศุกร์",,,,,,,,,,,,,,,,,
Sx.Ped,,รับผู้ป่วยอายุ <15 ปี,,,,,,,,,,,,,,,,,
Sx.Plastic,,"สาย HAND ตัดที่ ""ข้อมือ""
สลับกับ ortho ทุกสัปดาห์ 
ก้อน / ติ่งเนื้อ / หูด / ไฝ บริเวณใบหน้าทั้งหมดตัดกับ OPD101 ที่
""แนวผม""
ปวดกราม / ขากรรไกร : สามารถ Advice พบคณะทันตแพทย์ได้",,,,,,,,,,,,,,,,,
Uro.Ped,,"บางกลุ่มอาการสามารถส่งพบ
Ped Sx. OPD 1 วันจันทร์/พุธ ได้
โทร Consult เป็นรายกรณี *
OPD 1:35735/36335",,,,,,,,,,,,,,,,,
Neuro.Sx,,"Embolization
บางตำแหน่งต้องส่ง OPD101
ขึ้นอยู่กับ Diagnosis ของผู้ป่วย",,,,,,,,,,,,,,,,,
Uro.Sx.,,"ปัสสาวะมีสีผิดปกติ / ปัสสาวะเป็นฟอง /โปรตีนรั่วในปัสสาวะ
แต่ ไม่มี ปัสสาวะแสบขัดร่วม : ต้องส่ง OPD9 ก่อน",,,,,,,,,,,,,,,,,
Gyne,,"มะเร็งทางนรีเวช Refer for RT : สามารถส่งตรงห้องรังสีรักษาได้
จันทร์/อังคาร : OPD110 พุธ/พฤหัสบดี/ศุกร์ : RT Service
กรณีผู้ป่วยประสงค์ ผ่าตัดส่องกล้อง : ส่ง OPD5
ไม่มีบริการตรวจยืนยันการตั้งครรภ์ด้วยการ U/S : แนะนำติดต่อสถานพยาบาลเอกชน",,,,,,,,,,,,,,,,,
Onco Gyne,,"มะเร็งทางนรีเวช Refer for RT : สามารถส่งตรงห้องรังสีรักษาได้
จันทร์/อังคาร : OPD110 พุธ/พฤหัสบดี/ศุกร์ : RT Service
กรณีผู้ป่วยประสงค์ ผ่าตัดส่องกล้อง : ส่ง OPD5
ไม่มีบริการตรวจยืนยันการตั้งครรภ์ด้วยการ U/S : แนะนำติดต่อสถานพยาบาลเอกชน",,,,,,,,,,,,,,,,,
ANC,,"ฝากครรภ์ครั้งแรกและคัดกรอง Thalassemia : ต้องลงทะเบียนสามีด้วย
Fetal center และ CVS : ส่งห้องคลอด
ไม่รับยุติการตั้งครรภ์",,,,,,,,,,,,,,,,,
ตรวจหลังคลอด,,"กรณีมาไม่ตรงนัดหรือคลอดที่ร.พ.อื่นแต่ประสงค์มาตรวจหลังคลอดที่มหาราชฯ
ลงทะเบียนส่งผู้ป่วยติดต่อ OPD5
เพื่อพิจารณาเป็นรายกรณี",,,,,,,,,,,,,,,,,
Uro Gyne,,รับเฉพาะกรณีมีประวัติการรักษา/บันทึกข้อความ ที่ระบุชัดเจนว่าเป็นอาการทาง Uro - Gyne คลำพบก้อนที่ช่องคลอดไม่มีเอกสารระบุชัดเจนว่ามดลูกหย่อน : ส่ง OPD3,,,,,,,,,,,,,,,,,
วางแผนครอบครัว,,"มีบุตรยาก / ปล่อยแต่ไม่ติด / แท้งซ้ำ : ติดต่อ ศูนย์ความเป็นเลิศฯโทร 34714, 34715",,,,,,,,,,,,,,,,,
วัยทอง,,"รับเฉพาะผู้ป่วยเดิมของคลินิกวัยทอง
โรงพยาบาลมหาราชฯ
ประสงค์เข้าคลินิกวัยทอง 'ครั้งแรก'
OPD5 วันศุกร์ เท่านั้น",,,,,,,,,,,,,,,,,
CMU Pride,,"ลงทะเบียนส่งผู้ป่วยติดต่อ OPD5
เพื่อพิจารณานัดหมายรายกรณี",,,,,,,,,,,,,,,,,
Sx.HBP,,"Liver Biopsy
ยังไม่มีข้อสรุปแน่ชัดว่าเป็นของ Med / Sx.
* โทร Consult เป็นรายกรณี *
OPD 9: 35740 / 35751
OPD 23: 35754 / 36354
OPD 101: 35728 / 35729",,,,,,,,,,,,,,,,,
Endocine,,"OPD 21
ส่งตรงได้เฉพาะกรณี
ใบ refer ระบุ Endocrine ชัดเจน",,,,,,,,,,,,,,,,,
คุมกำเนิด,,"ลงทะเบียนส่งผู้ป่วยติดต่อ OPD5
เพื่อพิจารณานัดหมายรายกรณี",,,,,,,,,,,,,,,,,
ภูมิแพ้,,"ข้อควรระวัง
Skin Test
ไม่มี test แพ้อาหาร
ต้องพบแพทย์เพื่อพิจารณานัดคิว
กรณีไอเรื้อรัง > 2 สัปดาห์/ ไอปนเลือด / เสมหะปนเลือด : Activate TB Flow
URI (ไอ/เจ็บคอ/น้ำมูก/เสมหะ) + ไข้ : ส่งต่อ OPD EID",,,,,,,,,,,,,,,,,
ENT Ped,,"ข้อควรระวัง
กรณีไอเรื้อรัง > 2 สัปดาห์
/ ไอปนเลือด / เสมหะปนเลือด : Activate TB Flow
URI (ไอ/เจ็บคอ/น้ำมูก/เสมหะ) + ไข้ : ส่งต่อ OPD EID
กลุ่ม Stenosis ทั้งหมด : ส่งประเมินหน้าห้องฉุกเฉินก่อน
Vertigo : รับเฉพาะ Peripheral Vertigo
ถ้าเป็น Central Vertigo : ส่ง OPD9",,,,,,,,,,,,,,,,,
ENT Tumor,,กลุ่ม Stenosis ทั้งหมด : ส่งประเมินหน้าห้องฉุกเฉินก่อน,,,,,,,,,,,,,,,,,
Sinus,,"ข้อควรระวัง
กรณีไอเรื้อรัง > 2 สัปดาห์
/ ไอปนเลือด / เสมหะปนเลือด : Activate TB Flow
URI (ไอ/เจ็บคอ/น้ำมูก/เสมหะ) + ไข้ : ส่งต่อ OPD EID
กลุ่ม Stenosis ทั้งหมด : ส่งประเมินหน้าห้องฉุกเฉินก่อน
Vertigo : รับเฉพาะ Peripheral Vertigo
ถ้าเป็น Central Vertigo : ส่ง OPD9",,,,,,,,,,,,,,,,,
โสตประสาทหู,,"ข้อควรระวัง
กรณีไอเรื้อรัง > 2 สัปดาห์
/ ไอปนเลือด / เสมหะปนเลือด : Activate TB Flow
URI (ไอ/เจ็บคอ/น้ำมูก/เสมหะ) + ไข้ : ส่งต่อ OPD EID
กลุ่ม Stenosis ทั้งหมด : ส่งประเมินหน้าห้องฉุกเฉินก่อน
Vertigo : รับเฉพาะ Peripheral Vertigo
ถ้าเป็น Central Vertigo : ส่ง OPD10",,,,,,,,,,,,,,,,,
เครื่องช่วยฟัง,,,,,,,,,,,,,,,,,,,
ต้อหิน,,"เนื่องจากผู้รับบริการจำนวนมาก
กรุณาลงทะเบียน
ส่งผู้ป่วยติดต่อ OPD7
เพื่อพิจารณาตรวจหรือ + / - ใบนัด",,,,,,,,,,,,,,,,,
Eye ID,,"รับเฉพาะ ผู้ป่วยโรคติดเชื้อ
ผู้ป่วยมา ตามนัด
ผู้ป่วยที่มี ภาวะฉุกเฉิน ทางตา
ผู้ป่วยที่ไม่ใช่ ID และถูก Refer มา
สามารถส่งผู้ป่วยติดต่อ OPD7
เพื่อพิจารณา
ความเร่งด่วนของอาการและ + / - ใบนัด
ผู้ป่วยเดิมที่ไม่ใช่ ID แต่มีอาการ
ส่งติดต่อ OPD 7 เพื่อพิจารณา
ความเร่งด่วนของอาการได้",,,,,,,,,,,,,,,,,
Neuro.Med,8.00-12.00,"เปิดให้บริการ
8.00 - 12.00 น.",,,,,,,,,,,,,,,,,
ID,,"เปิดให้บริการ
08.00 - 12.00 น.
ผู้ป่วย ID เดิมผิดนัด OPD 22
กรณียาเดิมมีเพียงพอแนะนำพบ
OPD 22 พฤหัสบดี/ศุกร์ ไม่มีบริการยา PrEP       ",,,,,,,,,,,,,,,,,
Skin.Med,,"เปิดให้บริการ
08.00 - 12.00 น.",,,,,,,,,,,,,,,,,
Hemato,,"เปิดให้บริการ
08.00 - 12.00 น.
Refer for BMT
สามารถส่ง OPD23 วันอังคาร/พฤหัสบดี ได้",,,,,,,,,,,,,,,,,
Cardio,8.00-16.00,"เปิดให้บริการ
8.00 - 16.00 น.
Refer for Cardio
สามารถส่ง OPD22 วันพุธ หรือ
OPD110 วันศุกร์ ได้
New case
Refer มาพบ CVT
ต้องส่งพบ Cardio med ก่อน",,,,,,,,,,,,,,,,,
Cardio,13.00-16.00,"เปิดให้บริการ
13.00 - 16.00 น.
Refer for Cardio
สามารถส่ง OPD22 วันพุธ หรือ
OPD110 วันศุกร์ ได้
New case
Refer มาพบ CVT
ต้องส่งพบ Cardio med ก่อน",,,,,,,,,,,,,,,,,
Endocine,8.00-12.00,"เปิดให้บริการ
08.00 - 12.00 น.
Refer for 1131
สามารถส่ง OPD21 วันพุธ/ศุกร์ ได้
Refer/บันทึกข้อความระบุพบ Endocrine
สามารถส่ง OPD21 วันจันทร์/พุธ/ศุกร์ ได้",,,,,,,,,,,,,,,,,
Onco,8.00-12.00,"Oncologist
จันทร์ : OPD 26 มะเร็งทั่วไปวันจันทร์
อังคาร:OPD9(08.00-12.00)
พุธ - พฤหัสบดี : OPD 110
ศุกร์ : OPD 9 (13.00 - 16.00)",,,,,,,,,,,,,,,,,
Nephro,13.00-16.00,"เปิดให้บริการ
13.00 - 16.00 น.
Refer for Kidney Bx.
สามารถส่ง OPD26 วันพุธ ได้",,,,,,,,,,,,,,,,,
Chest,8.00-12.00,"เปิดให้บริการ
08.00 - 12.00 น.
ไอเรื้อรัง > 2 สัปดาห์ หรือ เสมหะปนเลือด
ต้องเข้าคัดกรองวัณโรคปอด
FLOW R/O TB
Refer for EBUS
สามารถส่ง OPD22 วันจันทร์ ได้",,,,,,,,,,,,,,,,,
Rheumato,8.00-12.00,"เปิดให้บริการ
08.00 - 12.00 น.",,,,,,,,,,,,,,,,,
GI,8.00-12.00,"เปิดให้บริการ
08.00 - 12.00 น.
Refer for ERCP / MRCP / EUS
สามารถส่ง OPD23 วันจันทร์ได้
บางหัตถการต้องส่ง
OPD101 HBP วันอังคาร
นิ่วในถุงน้ำดี / HCC /
Liver mass",,,,,,,,,,,,,,,,,
Spine,,"บางกรณี C-Spine
ทาง Neuro Sx. รับเคส",,,,,,,,,,,,,,,,,
กายภายฟื้นฟู,,"เปิดให้บริการ
08.00 - 11.30 น.
ใบรับรองความพิการ
ด้านการได้ยิน : OPD 6
ด้านการมองเห็น : OPD 7",,,,,,,,,,,,,,,,,
DM,,"*รับเฉพาะเคสเดิม*
*กรณี New Case
มีเอกสาร refer / บันทึกข้อความระบุพบ Endocrine
ชัดเจนสามารถส่งตรงได้
Refer for AVS (Adrenal Vein Sampling)
Refer Endocrine med มหาราชฯ",,,,,,,,,,,,,,,,,
Chest.Med,,"*รับเฉพาะเคสเดิม
*กรณี New Case
มีเอกสาร refer / บันทึกข้อความระบุโรค / หัตถการ เช่น EBUS ชัดเจน : ส่ง OPD 22 ตรงได้",,,,,,,,,,,,,,,,,
ID,,"*กรณี New Case
*มีเอกสาร refer / บันทึกข้อความระบุโรค / หัตถการชัดเจน : ส่ง OPD 22 ตรงได้
*มียาเดิม / ผล Lab ระบุชัดเจน : ส่ง OPD 22 ตรงได้
*Unsafe Sex : ส่ง OPD 22 ตรงได้
*ไม่มี เอกสาร refer / ผล Lab / ยาเดิม : ส่ง OPD 9 ก่อนเท่านั้น",,,,,,,,,,,,,,,,,
Botox,,"รับเฉพาะ Case Consult
จากห้องตรวจของมหาราชฯ
ตรงนัดเท่านั้น",,,,,,,,,,,,,,,,,
ทันตกรรม,,"เปิดให้บริการ
8.00 - 10.00 น.
ทันตกรรมที่มีความซับซ้อน
ติดต่อคณะทันตแพทย์
โทร 053- 944431",,,,,,,,,,,,,,,,,
เปลี่ยนไต,,"*กรณี New Case
มีเอกสาร refer / บันทึกข้อความระบุเพื่อเข้า
โครงการเปลี่ยนไต (KT) ชัดเจน : ส่ง OPD 26 ตรงได้
ไม่มี เอกสาร refer:/ บันทึกข้อความ แต่ประสงค์เข้าโครงการเปลี่ยนไต : แนะนำให้กลับไปพบแพทย์ประจำตัวเรื่องโรคไตเพื่อ
พิจารณาว่าสามารถเข้าโครงการได้หรือไม่ หากเข้าได้ทางแพทย์และโรงพยาบาลเดิมจะมีเอกสารนำส่งผู้ป่วยมาเพื่อเข้าโครงการ
*กรณีผู้ป่วยมาติดต่อไม่ตรงวัน
สามารถลงทะเบียนเข้า Location
"" เปลี่ยนไตและไตเทียม ""
และส่งผู้ป่วยติดต่อที่ชั้น 10 หน่วยเปลี่ยนไต
เพื่อนำเอกสารเข้าระบบไว้ก่อน",,,,,,,,,,,,,,,,,
ไตวาย,,"รับเฉพาะเคส Consult มาตรงนัด
กรณีผู้ป่วยเดิมมาติดต่อไม่ตรงวันนัด
* โทร Consult เป็นรายกรณี
35864 / 35756",,,,,,,,,,,,,,,,,
Sx.HNB,,"เคสผ่าตัดเต้านมแล้วไม่สามารถส่ง OPD 101 ได้ ต้องส่งต่อตาม Plan
- Refer For CMT
- Refer For RT",,,,,,,,,,,,,,,,,
Sx.VAS,,"กรณีมาไม่ตรงวันแต่มีอาการ
* โทร Consult เป็นรายกรณี
35728 / 35729
DVT
ส่ง
OPD9",,,,,,,,,,,,,,,,,
Intervention,,"รับเฉพาะ Case Consult
จากห้องตรวจของมหาราชฯ เท่านั้น
เปิดให้บริการ
13.00 - 16.00 น.",,,,,,,,,,,,,,,,,
Pain clinic,8.00-10.00,"รับเฉพาะ Case Consult จากห้องตรวจของมหาราชฯ เท่านั้น",,,,,,,,,,,,,,,,,
